"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Balaenoptera acutorostrata","Lacépède, 1804","","northern minke whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Balaenoptera","acutorostrata",NA,"",NA,"native","S4N (2006)",NA,"reported","unobserved","2004-10-04","Amy Rowley","BCCSN","",NA,"","","","",41550,"MAM"
"Balaenoptera physalus","(Linnaeus, 1758)","","fin whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Balaenoptera","physalus",NA,"",NA,"native","S2N (2006)",NA,"reported","unobserved","2007-05-17","Amy Rowley","BCCSN","",NA,"","","","",41562,"MAM"
"Eschrichtius robustus","(Lilljeborg, 1861)","","grey whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Eschrichtiidae","","","Eschrichtius","robustus",NA,"",NA,"native","S3 (2006)",NA,"reported","unobserved","2001-04-15","Amy Rowley","BCCSN","",NA,"","","","",41478,"MAM"
"Eumetopias jubatus","(Schreber, 1776)","","Steller sea lion","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Pinnipedia","","Otariidae","Otariidae","","Eumetopias","jubatus",NA,"",NA,"native","S3B,S4N (2013)",NA,"confirmed","observed","1985-12-07","Andy Lamb","Ocean Wise","",NA,"2016-05-11","Karen Steve Smith","iNat:16407423","",41755,"MAM"
"Lagenorhynchus obliquidens","Gill, 1865","","Pacific white-sided dolphin","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Delphinidae","","","Lagenorhynchus","obliquidens",NA,"",NA,"native","S4S5 (2006)",NA,"reported","unobserved","2002-08-15","Amy Rowley","BCCSN","",NA,"","","","",41510,"MAM"
"Lontra canadensis","(Schreber, 1777)","","North American river otter","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Caniformia","","Mustelidae","Mustelidae","","Lontra","canadensis",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2011-05-14","Kent Brothers","VMS","",NA,"2006-09-04","Shera Street","iNat:2635258","",41777,"MAM"
"Megaptera novaeangliae","(Borowski, 1781)","","humpback whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Megaptera","novaeangliae",NA,"",NA,"native","S3 (2006)",NA,"confirmed","observed","2001-04-20","Amy Rowley","BCCSN","",NA,"2017-06-06","Andrew Simon","iNat:6532303","",41566,"MAM"
"Neogale vison","(Schreber, 1777)","","American mink","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Caniformia","","Mustelidae","Mustelidae","","Neogale","vison",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2011-05-14","Kent Brothers","VMS","",NA,"2017-05-28","Ayla Malcolm","iNat:6485976","",74758,"MAM"
"Orcinus orca","(Linnaeus, 1758)","","orca","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Delphinidae","","","Orcinus","orca",NA,"",NA,"native","S1 (2011)",NA,"confirmed","observed","2001-01-14","Amy Rowley","BCCSN","",NA,"2004-07-04","Steve Ansell","iNat:108409966","",41521,"MAM"
"Phoca vitulina richardii","Linnaeus, 1758","Gray, 1864","Pacific harbor seal","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Pinnipedia","","Phocidae","Phocidae","","Phoca","vitulina",NA,"richardii",NA,"native","S5 (2006)",NA,"confirmed","observed","1995-02-24","Andy Lamb","Ocean Wise","",NA,"2014-05-20","Andrew Simon","iNat:731418","",41708,"MAM"
"Phocoena phocoena","(Linnaeus, 1758)","","harbour porpoise","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Phocoenidae","","","Phocoena","phocoena",NA,"",NA,"native","S3 (2006)",NA,"confirmed","observed","2001-12-15","Amy Rowley","BCCSN","",NA,"2019-03-25","Karen Steve Smith","iNat:21616577","",41440,"MAM"
"Phocoenoides dalli","(True, 1885)","","Dall’s porpoise","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Phocoenidae","","","Phocoenoides","dalli",NA,"",NA,"native","S4S5 (2006)",NA,"confirmed","observed","2001-11-19","Amy Rowley","BCCSN","",NA,"2022-03-27","Liam Ragan","iNat:123719259","",41446,"MAM"
"Zalophus californianus","(Lesson, 1828)","","California sea lion","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Pinnipedia","","Otariidae","Otariidae","","Zalophus","californianus",NA,"",NA,"native","S5N (2006)",NA,"new 2016","observed","","","","",NA,"2016-05-27","Chessi Miltner","iNat:3598720","",41740,"MAM"
